age_group,sex,education,income_group,race_group,obesity_rate,n
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.2987303466877179,15201
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.28550295857988167,14872
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.26290011037527594,14496
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3092537313432836,13400
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.30665828158163666,12721
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.2594659568987722,11647
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.1744109640476861,10653
55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.3250425572158124,10574
50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.34754065245934757,9901
60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.3349623294644675,9822
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.24265082454163678,9763
40-44,Female,Graduated college or technical school,50k-100k,NH-White,0.32064220183486236,8720
45-49,Female,Graduated college or technical school,50k-100k,NH-White,0.3429694727104533,8648
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3199152542372881,8496
65-69,Female,Attended college or technical school,50k-100k,NH-White,0.3558260031329076,8299
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.33870377151226655,8193
60-64,Female,Attended college or technical school,50k-100k,NH-White,0.37660275979973135,8189
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.3102171767028628,8104
35-39,Female,Graduated college or technical school,50k-100k,NH-White,0.3113371371868023,8062
55-59,Male,Graduated college or technical school,50k-100k,NH-White,0.34797171566803126,8061
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.30297005095066487,8047
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.2958520739630185,8004
65-69,Male,Attended college or technical school,50k-100k,NH-White,0.4,7950
80+,Female,Graduated college or technical school,50k-100k,NH-White,0.1660759493670886,7900
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.26505260489288884,7889
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.37280927835051547,7760
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.3125725338491296,7755
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.28391699092088196,7710
