age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.3102529678635342,11043,1
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.2814112572297401,11041,1
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.307990344011193,10989,1
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3190793478654471,9125,1
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.2779696271234664,8859,1
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3217940721655746,8630,1
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3115820822987065,8496,1
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.167746236516535,8350,1
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3470940246905129,8193,1
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.3015594587165208,8104,1
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.2987751762783648,8047,1
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.2853578521853875,8004,1
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.268848687101948,7889,1
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.2383867303772554,7810,1
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.3748986941650578,7760,1
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.3062217291364713,7755,1
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.2759241556600637,7710,1
50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.3742851404549852,7594,1
40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.3258114088227175,7018,1
35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.2641613273685453,6838,1
65-69,Female,Attended college or technical school,50k-100k,NH-White,0.3517192519891329,6572,1
35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.287530331215718,6564,1
55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.3440749080329581,6561,1
45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.3747523697718657,6516,1
80+,Female,Graduated college or technical school,50k-100k,NH-White,0.1621878198411493,6460,1
65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.246897418598446,6444,1
75-79,Male,Graduated college or technical school,100k-200k,NH-White,0.2305202890329342,6212,1
60-64,Female,Attended college or technical school,50k-100k,NH-White,0.4146779580435965,6099,1
65-69,Male,Attended college or technical school,50k-100k,NH-White,0.3966776385458853,6089,1
70-74,Male,Attended college or technical school,50k-100k,NH-White,0.3815925184130747,5937,1
50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.3917090872297155,5916,1
60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.3654669184142042,5849,1
70-74,Female,Attended college or technical school,50k-100k,NH-White,0.351740212040628,5772,1
40-44,Female,Graduated college or technical school,50k-100k,NH-White,0.3610041062987066,5450,1
30-34,Male,Graduated college or technical school,100k-200k,NH-White,0.2498465853334365,5372,1
70-74,Female,Graduated college or technical school,100k-200k,NH-White,0.2053953431172923,5307,1
45-49,Female,Graduated college or technical school,50k-100k,NH-White,0.3740164663009695,5105,1
60-64,Male,Attended college or technical school,50k-100k,NH-White,0.4219795703418484,5084,1
35-39,Female,Graduated college or technical school,50k-100k,NH-White,0.3452234464411375,5024,1
60-64,Male,Graduated high school,50k-100k,NH-White,0.4245920960583458,4963,1
80+,Male,Graduated college or technical school,100k-200k,NH-White,0.1522738109625317,4879,1
65-69,Male,Graduated high school,50k-100k,NH-White,0.4308753183783753,4844,1
30-34,Female,Graduated college or technical school,50k-100k,NH-White,0.3123247734420084,4701,1
30-34,Female,Graduated college or technical school,100k-200k,NH-White,0.2654545260172369,4699,1
50-54,Male,Graduated college or technical school,200k+,NH-White,0.3099446917592729,4644,1
55-59,Male,Graduated college or technical school,200k+,NH-White,0.3162796496929903,4612,1
55-59,Female,Attended college or technical school,50k-100k,NH-White,0.3934636073390434,4545,1
25-29,Male,Graduated college or technical school,50k-100k,NH-White,0.2121259608768625,4501,1
80+,Female,Graduated high school,15k-25k,NH-White,0.2597263005919297,4447,1
30-34,Male,Graduated college or technical school,50k-100k,NH-White,0.2784226824649527,4421,1
80+,Female,Graduated high school,25k-35k,NH-White,0.2435895224103751,4380,1
55-59,Male,Graduated college or technical school,50k-100k,NH-White,0.3566133656081044,4311,1
25-29,Female,Graduated college or technical school,50k-100k,NH-White,0.265040064322095,4222,1
35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.3144603108580868,4209,1
75-79,Female,Attended college or technical school,50k-100k,NH-White,0.2485493897388441,4152,1
60-64,Male,Graduated college or technical school,200k+,NH-White,0.2940369819182094,4105,1
75-79,Male,Attended college or technical school,50k-100k,NH-White,0.3317347086184787,3994,1
45-49,Male,Graduated college or technical school,200k+,NH-White,0.2693164026914514,3917,1
40-44,Male,Graduated college or technical school,200k+,NH-White,0.2598377902895608,3895,1
60-64,Female,Graduated high school,50k-100k,NH-White,0.3921300198381071,3866,1
50-54,Female,Graduated college or technical school,200k+,NH-White,0.2086448986305924,3774,1
70-74,Female,Graduated college or technical school,35k-50k,NH-White,0.3673810975038353,3746,1
50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.3929645948125398,3733,1
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.3442723943065221,3725,1
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4632640662471747,3696,1
65-69,Female,Graduated high school,50k-100k,NH-White,0.3866365806813502,3667,1
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4649101627835802,3651,1
55-59,Male,Graduated high school,50k-100k,NH-White,0.4597119743279432,3644,1
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3642721070974517,3551,1
18-24,Male,Graduated high school,50k-100k,NH-White,0.1797443529763408,3487,1
80+,Female,Attended college or technical school,25k-35k,NH-White,0.1753980720371197,3470,1
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.1924119119042092,3459,1
80+,Female,Graduated high school,35k-50k,NH-White,0.1998655853786915,3447,1
45-49,Female,Graduated college or technical school,200k+,NH-White,0.1889894253596593,3444,1
40-44,Female,Graduated college or technical school,200k+,NH-White,0.1767968979834247,3426,1
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1836125685324463,3402,1
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3705609894681462,3387,1
80+,Male,Attended college or technical school,50k-100k,NH-White,0.244056748398097,3382,1
