age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.3102529678635342,11043,1,0.3103323535703696,0.289379179864486
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.2814112572297401,11041,1,0.2815688120351598,0.3076093778618527
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.307990344011193,10989,1,0.3080762789097644,0.3302640046012753
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3190793478654471,9125,1,0.3191464419704969,0.3112948282730844
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.2779696271234664,8859,1,0.2781774725677222,0.25171704427784236
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3217940721655746,8630,1,0.3218555969695846,0.3544926366702506
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3115820822987065,8496,1,0.3116805064716754,0.3746935614836345
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.167746236516535,8350,1,0.168361300940425,0.1654725490751558
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3470940246905129,8193,1,0.3470665172390936,0.31582919305061985
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.3015594587165208,8104,1,0.3016995918866952,0.2930434590622583
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.2987751762783648,8047,1,0.2989266399009156,0.3556377827456815
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.2853578521853875,8004,1,0.2855602285112691,0.34960870786890824
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.268848687101948,7889,1,0.2691165449570605,0.27190543877450296
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.2383867303772554,7810,1,0.2387738509201606,0.2684709899944672
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.3748986941650578,7760,1,0.3747625794208655,0.33594225478553474
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.3062217291364713,7755,1,0.3063501780887641,0.3698914591567862
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.2759241556600637,7710,1,0.2761707838639258,0.3349402994385042
