age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.3102529678635342,11043,1,0.3103323535703696
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.2814112572297401,11041,1,0.2815688120351598
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.307990344011193,10989,1,0.3080762789097644
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3190793478654471,9125,1,0.3191464419704969
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.2779696271234664,8859,1,0.27817747256772224
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3217940721655746,8630,1,0.32185559696958466
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3115820822987065,8496,1,0.31168050647167544
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.167746236516535,8350,1,0.16836130094042503
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3470940246905129,8193,1,0.34706651723909365
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.3015594587165208,8104,1,0.3016995918866952
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.2987751762783648,8047,1,0.29892663990091567
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.2853578521853875,8004,1,0.2855602285112691
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.268848687101948,7889,1,0.2691165449570605
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.2383867303772554,7810,1,0.23877385092016062
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.3748986941650578,7760,1,0.37476257942086555
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.3062217291364713,7755,1,0.30635017808876414
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.2759241556600637,7710,1,0.2761707838639258
50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.3742851404549852,7594,1,0.37414847633563114
40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.3258114088227175,7018,1,0.32586990551724254
35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.2641613273685453,6838,1,0.2644906499000884
65-69,Female,Attended college or technical school,50k-100k,NH-White,0.3517192519891329,6572,1,0.351663973196043
35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.287530331215718,6564,1,0.28776701866358323
55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.3440749080329581,6561,1,0.3440543314477215
45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.3747523697718657,6516,1,0.37459105841753304
80+,Female,Graduated college or technical school,50k-100k,NH-White,0.1621878198411493,6460,1,0.16300769539930957
65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.246897418598446,6444,1,0.24732678288787155
75-79,Male,Graduated college or technical school,100k-200k,NH-White,0.2305202890329342,6212,1,0.23104432272353123
60-64,Female,Attended college or technical school,50k-100k,NH-White,0.4146779580435965,6099,1,0.41431024523993953
65-69,Male,Attended college or technical school,50k-100k,NH-White,0.3966776385458853,6089,1,0.3963975760865484
