_STATE,year,weighted_obesity_rate,state_name
1.0,2020,0.4017,Alabama
1.0,2021,0.4125,Alabama
1.0,2022,0.3956,Alabama
1.0,2023,0.4024,Alabama
1.0,2024,0.4009,Alabama
2.0,2020,0.3239,Alaska
2.0,2021,0.337,Alaska
2.0,2022,0.3326,Alaska
2.0,2023,0.3661,Alaska
2.0,2024,0.3513,Alaska
4.0,2020,0.3196,Arizona
4.0,2021,0.3213,Arizona
4.0,2022,0.3407,Arizona
4.0,2023,0.3325,Arizona
4.0,2024,0.3514,Arizona
5.0,2020,0.3767,Arkansas
5.0,2021,0.3976,Arkansas
5.0,2022,0.3842,Arkansas
5.0,2023,0.4124,Arkansas
5.0,2024,0.3935,Arkansas
6.0,2020,0.3096,California
6.0,2021,0.2842,California
6.0,2022,0.2908,California
6.0,2023,0.2811,California
6.0,2024,0.2984,California
8.0,2020,0.246,Colorado
8.0,2021,0.2608,Colorado
8.0,2022,0.2563,Colorado
8.0,2023,0.2537,Colorado
8.0,2024,0.2578,Colorado
9.0,2020,0.3064,Connecticut
9.0,2021,0.3133,Connecticut
9.0,2022,0.3172,Connecticut
9.0,2023,0.3044,Connecticut
9.0,2024,0.3322,Connecticut
10.0,2020,0.3675,Delaware
10.0,2021,0.3411,Delaware
10.0,2022,0.3814,Delaware
10.0,2023,0.3583,Delaware
10.0,2024,0.3753,Delaware
11.0,2020,0.2438,District of Columbia
11.0,2021,0.2432,District of Columbia
11.0,2022,0.2336,District of Columbia
11.0,2023,0.2435,District of Columbia
11.0,2024,0.2537,District of Columbia
12.0,2020,0.293,Florida
12.0,2022,0.3304,Florida
12.0,2023,0.3127,Florida
12.0,2024,0.3005,Florida
13.0,2020,0.3512,Georgia
13.0,2021,0.3488,Georgia
13.0,2022,0.382,Georgia
13.0,2023,0.3638,Georgia
13.0,2024,0.3599,Georgia
15.0,2020,0.2461,Hawaii
15.0,2021,0.2586,Hawaii
15.0,2022,0.2631,Hawaii
15.0,2023,0.2642,Hawaii
15.0,2024,0.2784,Hawaii
16.0,2020,0.3205,Idaho
16.0,2021,0.3283,Idaho
16.0,2022,0.3301,Idaho
16.0,2023,0.3186,Idaho
16.0,2024,0.3383,Idaho
17.0,2020,0.3415,Illinois
17.0,2021,0.3568,Illinois
17.0,2022,0.342,Illinois
17.0,2023,0.3665,Illinois
17.0,2024,0.3473,Illinois
18.0,2020,0.3761,Indiana
18.0,2021,0.3752,Indiana
18.0,2022,0.3879,Indiana
18.0,2023,0.3891,Indiana
18.0,2024,0.3966,Indiana
19.0,2020,0.3778,Iowa
19.0,2021,0.3723,Iowa
19.0,2022,0.3825,Iowa
19.0,2023,0.3847,Iowa
19.0,2024,0.3756,Iowa
20.0,2020,0.3631,Kansas
20.0,2021,0.3696,Kansas
20.0,2022,0.3683,Kansas
20.0,2023,0.3634,Kansas
20.0,2024,0.3859,Kansas
21.0,2020,0.3737,Kentucky
21.0,2021,0.4215,Kentucky
21.0,2022,0.3883,Kentucky
21.0,2024,0.3773,Kentucky
22.0,2020,0.389,Louisiana
22.0,2021,0.4015,Louisiana
22.0,2022,0.4042,Louisiana
22.0,2023,0.4048,Louisiana
22.0,2024,0.4011,Louisiana
23.0,2020,0.3231,Maine
23.0,2021,0.3339,Maine
23.0,2022,0.3434,Maine
23.0,2023,0.3367,Maine
23.0,2024,0.3372,Maine
24.0,2020,0.3145,Maryland
24.0,2021,0.3593,Maryland
24.0,2022,0.3457,Maryland
24.0,2023,0.3543,Maryland
24.0,2024,0.3378,Maryland
25.0,2020,0.2556,Massachusetts
25.0,2021,0.286,Massachusetts
25.0,2022,0.2882,Massachusetts
25.0,2023,0.2854,Massachusetts
25.0,2024,0.2772,Massachusetts
26.0,2020,0.3643,Michigan
26.0,2021,0.3535,Michigan
26.0,2022,0.3509,Michigan
26.0,2023,0.3661,Michigan
26.0,2024,0.3685,Michigan
27.0,2020,0.3143,Minnesota
27.0,2021,0.3369,Minnesota
27.0,2022,0.3431,Minnesota
27.0,2023,0.3435,Minnesota
27.0,2024,0.3335,Minnesota
28.0,2020,0.408,Mississippi
28.0,2021,0.4066,Mississippi
28.0,2022,0.4018,Mississippi
28.0,2023,0.4197,Mississippi
28.0,2024,0.4303,Mississippi
29.0,2020,0.3497,Missouri
29.0,2021,0.3883,Missouri
29.0,2022,0.384,Missouri
29.0,2023,0.3721,Missouri
29.0,2024,0.3535,Missouri
30.0,2020,0.2912,Montana
30.0,2021,0.3247,Montana
30.0,2022,0.3093,Montana
30.0,2023,0.3054,Montana
30.0,2024,0.3165,Montana
