age_group,sex,education,income_group,race_group,predicted,observed,n,reliable
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.289374353911475,0.3101580133755469,11043,1
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.3076399830657653,0.2817953041965557,11041,1
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.3303878140059186,0.3079440053462322,10989,1
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.31137898910003725,0.3193129339124304,9125,1
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.25166654942590116,0.2780483950506048,8859,1
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3544667570538455,0.3215774724723691,8630,1
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3748424568868425,0.3117479585928868,8496,1
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.16560007809291818,0.1678803347881267,8350,1
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3157834932089091,0.3472821735587607,8193,1
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.2931390323830983,0.3011744412726141,8104,1
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.3561532984960973,0.2990086130173927,8047,1
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.34984968778137077,0.2858143662954579,8004,1
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.27191440471123024,0.2684321898263347,7889,1
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.26845116636530825,0.2385847566785564,7810,1
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.3364068102275226,0.375727919769493,7760,1
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.36997591939566615,0.3066449872340129,7755,1
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.334930422102817,0.2762674218455713,7710,1
50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.3546305081781093,0.3748482053983776,7594,1
40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.33027341492015994,0.3260231089104967,7018,1
35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.330795357554657,0.2644197143166487,6838,1
65-69,Female,Attended college or technical school,50k-100k,NH-White,0.4058423571083809,0.3511491489707928,6572,1
35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.3117740021428834,0.2881086988699534,6564,1
55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.37622726712906124,0.3448900857650855,6561,1
45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.3498795184527772,0.3750079291933289,6516,1
80+,Female,Graduated college or technical school,50k-100k,NH-White,0.17801001802019917,0.1620811816194129,6460,1
65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.3115381149764677,0.24727193897115,6444,1
75-79,Male,Graduated college or technical school,100k-200k,NH-White,0.23572705737751784,0.2308098198293789,6212,1
60-64,Female,Attended college or technical school,50k-100k,NH-White,0.4318737275232883,0.4147867462816659,6099,1
65-69,Male,Attended college or technical school,50k-100k,NH-White,0.38498824178027474,0.3967067555827014,6089,1
70-74,Male,Attended college or technical school,50k-100k,NH-White,0.3605050182289676,0.3808329625216133,5937,1
50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.3953230291972709,0.3918409486364773,5916,1
60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.3347651578457134,0.3658975909063285,5849,1
70-74,Female,Attended college or technical school,50k-100k,NH-White,0.3808541960024133,0.3519220202886773,5772,1
40-44,Female,Graduated college or technical school,50k-100k,NH-White,0.3697724147413096,0.360995101586656,5450,1
30-34,Male,Graduated college or technical school,100k-200k,NH-White,0.2878935527156747,0.2498227740389988,5372,1
70-74,Female,Graduated college or technical school,100k-200k,NH-White,0.2895269625937587,0.2053685670778629,5307,1
45-49,Female,Graduated college or technical school,50k-100k,NH-White,0.3903566243155128,0.3739102654362668,5105,1
60-64,Male,Attended college or technical school,50k-100k,NH-White,0.41060638670416566,0.4219238580774309,5084,1
35-39,Female,Graduated college or technical school,50k-100k,NH-White,0.35021750718904127,0.3454009944838701,5024,1
60-64,Male,Graduated high school,50k-100k,NH-White,0.4123737438348844,0.4246765266281251,4963,1
80+,Male,Graduated college or technical school,100k-200k,NH-White,0.15398996229654355,0.1527255151178136,4879,1
65-69,Male,Graduated high school,50k-100k,NH-White,0.38671768111828086,0.4309268561347156,4844,1
30-34,Female,Graduated college or technical school,50k-100k,NH-White,0.32478205222537665,0.3125436803174325,4701,1
30-34,Female,Graduated college or technical school,100k-200k,NH-White,0.30610597470456774,0.2662357044353232,4699,1
50-54,Male,Graduated college or technical school,200k+,NH-White,0.27314775432718646,0.3102848055830491,4644,1
55-59,Male,Graduated college or technical school,200k+,NH-White,0.25744097622547807,0.316650116773101,4612,1
55-59,Female,Attended college or technical school,50k-100k,NH-White,0.4550365425750623,0.3948740034244282,4545,1
25-29,Male,Graduated college or technical school,50k-100k,NH-White,0.26022274689856545,0.2125381261839892,4501,1
80+,Female,Graduated high school,15k-25k,NH-White,0.2400927444690175,0.260791714313764,4447,1
30-34,Male,Graduated college or technical school,50k-100k,NH-White,0.3059483904130682,0.2787710986228178,4421,1
80+,Female,Graduated high school,25k-35k,NH-White,0.24198226659203637,0.2427956863552421,4380,1
55-59,Male,Graduated college or technical school,50k-100k,NH-White,0.35598316746238506,0.3572183848357991,4311,1
25-29,Female,Graduated college or technical school,50k-100k,NH-White,0.2773665023758769,0.2653003043182904,4222,1
35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.3306311193174031,0.313937612120334,4209,1
75-79,Female,Attended college or technical school,50k-100k,NH-White,0.33687685356698716,0.2487935119428272,4152,1
60-64,Male,Graduated college or technical school,200k+,NH-White,0.23990848007607382,0.2938039351175138,4105,1
75-79,Male,Attended college or technical school,50k-100k,NH-White,0.31767180226558916,0.3319003446790216,3994,1
45-49,Male,Graduated college or technical school,200k+,NH-White,0.26903332734723917,0.269401730700455,3917,1
40-44,Male,Graduated college or technical school,200k+,NH-White,0.2522001265895469,0.2595069172486698,3895,1
60-64,Female,Graduated high school,50k-100k,NH-White,0.43366527121053416,0.3924312772549039,3866,1
50-54,Female,Graduated college or technical school,200k+,NH-White,0.2908082911795878,0.2081021905607523,3774,1
70-74,Female,Graduated college or technical school,35k-50k,NH-White,0.3135793580194571,0.3673774869064308,3746,1
50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.3746685934067635,0.3934844406040649,3733,1
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.34968093251695803,0.3437547631941338,3725,1
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.43349890787356404,0.4627634440400919,3696,1
65-69,Female,Graduated high school,50k-100k,NH-White,0.4076033895647997,0.3869902302613288,3667,1
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4750857823201585,0.4654397088900994,3651,1
55-59,Male,Graduated high school,50k-100k,NH-White,0.435292027855301,0.4598116119396831,3644,1
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3874161310983651,0.3645011904986431,3551,1
18-24,Male,Graduated high school,50k-100k,NH-White,0.21092344356521955,0.1790452078162642,3487,1
80+,Female,Attended college or technical school,25k-35k,NH-White,0.2406461152729128,0.1755264888191238,3470,1
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.2439179772643318,0.1925696244934512,3459,1
80+,Female,Graduated high school,35k-50k,NH-White,0.23692713904481624,0.1996361806001579,3447,1
45-49,Female,Graduated college or technical school,200k+,NH-White,0.28653271155304383,0.1892476408708701,3444,1
40-44,Female,Graduated college or technical school,200k+,NH-White,0.26900753744389583,0.1760335108818833,3426,1
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.25180631851458846,0.1836183995074781,3402,1
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.41254795368800257,0.3709419611617133,3387,1
80+,Male,Attended college or technical school,50k-100k,NH-White,0.21553385623814858,0.2441421204210883,3382,1
55-59,Female,Graduated college or technical school,200k+,NH-White,0.27446946035168585,0.1981701777382153,3342,1
35-39,Male,Graduated college or technical school,200k+,NH-White,0.23652933603363663,0.2163742648910414,3339,1
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.41238939905950045,0.4545710467534205,3329,1
80+,Female,Attended college or technical school,50k-100k,NH-White,0.2306514017043865,0.1767392072293063,3328,1
70-74,Male,Graduated high school,50k-100k,NH-White,0.36218924503896266,0.3674934341156134,3302,1
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3698029779217347,0.3986283816739766,3298,1
80+,Female,Attended college or technical school,35k-50k,NH-White,0.23561022458935832,0.1931556981245585,3286,1
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.18210497778126128,0.1978844433960542,3285,1
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.3898445043541334,0.4362130843611513,3284,1
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3365528832786774,0.3473554241367129,3268,1
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4533886852885189,0.4523634087091824,3236,1
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.4320493045813376,0.5115405774483114,3233,1
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.40610752885115486,0.404870638322145,3117,1
65-69,Male,Graduated college or technical school,200k+,NH-White,0.22094794291782816,0.2675691464190971,3109,1
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.42673366984641253,0.4239979061105673,3052,1
70-74,Female,Graduated high school,50k-100k,NH-White,0.38257661672382204,0.3339483149044355,3015,1
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.29511139759075833,0.3094696311486917,3006,1
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.39402414520631357,0.3916393190175581,2978,1
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.36692412658372003,0.3817541683952392,2974,1
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.37898038706272985,0.3594182420865593,2966,1
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.4269472860399731,0.4814193439723943,2950,1
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.26036561456556173,0.2008308605456196,2943,1
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.2739332978153257,0.2878702429071389,2943,1
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.43368113819315823,0.3956548548028049,2930,1
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3431009659359076,0.3116836297040156,2909,1
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.4698960226735158,0.4661330206769238,2907,1
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.41078597183731963,0.331554555797749,2893,1
50-54,Male,Graduated high school,50k-100k,NH-White,0.45519796960599485,0.4458559195594507,2825,1
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.16946841525322043,0.2002633606463777,2815,1
55-59,Female,Graduated high school,50k-100k,NH-White,0.4568469067869437,0.4110227051400217,2804,1
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.42731078984338217,0.4169816019216451,2794,1
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.44820111426510895,0.4518924810049362,2792,1
65-69,Male,Graduated high school,35k-50k,NH-White,0.3933164644282654,0.399931458821589,2784,1
70-74,Female,Graduated high school,25k-35k,NH-White,0.395768054698513,0.3873246429496865,2773,1
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.40571766149100136,0.4251866647034635,2748,1
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.4192912270576429,0.3762608351595208,2740,1
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4482335494151569,0.4470724027245369,2736,1
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.4535725823386712,0.3772119273400485,2735,1
75-79,Female,Graduated high school,25k-35k,NH-White,0.3510450100592942,0.34888236725061,2732,1
35-39,Female,Graduated college or technical school,200k+,NH-White,0.25264523143433687,0.1503113911946032,2714,1
70-74,Female,Graduated high school,35k-50k,NH-White,0.38914957584522236,0.3908503663550483,2701,1
80+,Female,Attended college or technical school,15k-25k,NH-White,0.23876374016277457,0.2398383339131629,2671,1
60-64,Female,Graduated college or technical school,200k+,NH-White,0.2561773583837831,0.1746213234414116,2656,1
65-69,Male,Graduated high school,25k-35k,NH-White,0.39995941005540575,0.3970744260900381,2644,1
65-69,Female,Graduated high school,25k-35k,NH-White,0.4210692600266031,0.4111924226509116,2626,1
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.349384217909704,0.3474891954280323,2620,1
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.39157635686690356,0.386341674343193,2598,1
65-69,Female,Graduated high school,35k-50k,NH-White,0.4143177932185824,0.3947948889631583,2591,1
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.3647201412262928,0.4151132333401417,2575,1
80+,Male,Graduated high school,25k-35k,NH-White,0.2263405521118818,0.2060938905948167,2562,1
40-44,Male,Graduated high school,50k-100k,NH-White,0.42851997392622676,0.4644817339904866,2561,1
80+,Male,Graduated high school,35k-50k,NH-White,0.22151669713704786,0.2144144941829706,2553,1
75-79,Female,Graduated high school,35k-50k,NH-White,0.34474771682753036,0.3063076081204344,2543,1
75-79,Male,Graduated high school,50k-100k,NH-White,0.31925581995652025,0.3756267864635257,2526,1
30-34,Male,Graduated high school,50k-100k,NH-White,0.3806995441355956,0.3422114262250293,2507,1
75-79,Female,Graduated high school,15k-25k,NH-White,0.34869562257502,0.3501678700252458,2489,1
80+,Female,Graduated high school,50k-100k,NH-White,0.23194900988616415,0.2320415892742958,2478,1
70-74,Male,Graduated college or technical school,200k+,NH-White,0.20344587993200056,0.2010847486351597,2468,1
35-39,Male,Graduated high school,50k-100k,NH-White,0.4078689220706686,0.3707779655318755,2466,1
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.43869186495490925,0.3999243078054539,2453,1
80+,Male,Graduated high school,50k-100k,NH-White,0.21677037874786828,0.2156764605526275,2444,1
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.32748999934200956,0.3186194741881953,2428,1
70-74,Female,Graduated high school,15k-25k,NH-White,0.3933007542316938,0.4028462023708554,2416,1
45-49,Male,Graduated high school,50k-100k,NH-White,0.4500391991931966,0.4467647050202549,2414,1
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.2097113434661309,0.1800403293021158,2410,1
65-69,Female,Graduated high school,15k-25k,NH-White,0.41855348874158177,0.4117986500842299,2396,1
75-79,Female,Graduated high school,50k-100k,NH-White,0.33850912527543,0.290078359690432,2389,1
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.3854243696680232,0.4026442619541372,2373,1
25-29,Male,Graduated high school,50k-100k,NH-White,0.32909936107833343,0.3123905552442896,2368,1
70-74,Male,Graduated high school,35k-50k,NH-White,0.36862105603486955,0.3816607643787233,2350,1
55-59,Male,Graduated high school,100k-200k,NH-White,0.4141590379364607,0.4590265331655664,2315,1
60-64,Male,Graduated high school,100k-200k,NH-White,0.39158186903171505,0.4293555773706947,2306,1
80+,Male,Attended college or technical school,35k-50k,NH-White,0.2202607141152639,0.2071026212064453,2299,1
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.25692629837173986,0.2813231725575714,2298,1
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.39972058066869504,0.386297994002351,2286,1
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.3173574622189031,0.3311401298605338,2259,1
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4167784312315135,0.420352363224834,2183,1
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.3915606713159634,0.4225431073944859,2177,1
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.37339566606845587,0.3917768904729603,2176,1
70-74,Male,Graduated high school,25k-35k,NH-White,0.37510479132219254,0.3998140086387891,2168,1
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4484170708427957,0.4375977317925894,2168,1
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.36083901574348287,0.3490450179938008,2141,1
65-69,Male,Graduated high school,15k-25k,NH-White,0.39748316881589213,0.4091432977122674,2115,1
50-54,Male,Graduated high school,100k-200k,NH-White,0.4338410204244518,0.5021785182794467,2108,1
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.16570263218953235,0.1207164677645505,2101,1
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.31958499793022677,0.3684559887747992,2101,1
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.3982092033388116,0.424395248324433,2095,1
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.1862759463100312,0.1712573303095228,2090,1
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.3237143000612782,0.3518172328258207,2088,1
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.4455383713642439,0.3961164398466813,2084,1
60-64,Male,Graduated high school,35k-50k,NH-White,0.41911113383219567,0.4091991333847676,2076,1
60-64,Female,Graduated high school,35k-50k,NH-White,0.4404897629231309,0.4087211577424717,2070,1
75-79,Male,Graduated high school,35k-50k,NH-White,0.3253140826053413,0.3696399814583078,2045,1
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.16084990552371672,0.1868430180041234,2043,1
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.38516394446436597,0.3173093762957275,2033,1
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.42691519942668676,0.3549540618360968,2029,1
60-64,Female,Graduated high school,25k-35k,NH-White,0.4473419663701416,0.4045745607384019,1969,1
50-54,Female,Graduated high school,50k-100k,NH-White,0.4769061080435013,0.477591492739771,1968,1
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3427787931005267,0.3887705447732346,1962,1
18-24,Male,Graduated high school,35k-50k,NH-White,0.21557697674067236,0.2143040668516162,1954,1
60-64,Male,Graduated high school,25k-35k,NH-White,0.4258839120879434,0.4157548738852342,1943,1
60-64,Female,Graduated high school,15k-25k,NH-White,0.4447898239305282,0.4336801053914279,1939,1
30-34,Male,Graduated college or technical school,200k+,NH-White,0.2165984258178926,0.1836282707779888,1921,1
60-64,Male,Graduated high school,15k-25k,NH-White,0.42336041074609193,0.3942251417696796,1903,1
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1729776674985267,0.1305263325194459,1902,1
40-44,Male,Graduated high school,100k-200k,NH-White,0.4074785239449496,0.4277401830272415,1895,1
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3470400014574597,0.3565564231224978,1892,1
45-49,Male,Graduated high school,100k-200k,NH-White,0.42873381556539325,0.4675521712748453,1839,1
18-24,Male,Graduated high school,100k-200k,NH-White,0.19688552216884925,0.1585109535318135,1827,1
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.34081158762005936,0.3424653960325751,1804,1
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.4429882708257528,0.4555546527466334,1799,1
75-79,Male,Graduated college or technical school,200k+,NH-White,0.17419056421429566,0.1919753553273146,1777,1
75-79,Male,Graduated high school,25k-35k,NH-White,0.33143594870981913,0.354592226100437,1755,1
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.41733540882786185,0.4117244350115058,1716,1
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.35884402904076595,0.3720135014306328,1691,1
65-69,Female,Graduated college or technical school,200k+,NH-White,0.23633082950945666,0.1535105954858655,1658,1
80+,Male,Attended college or technical school,25k-35k,NH-White,0.22506512553560792,0.1834656052422537,1636,1
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.27948880229846274,0.2937018157066018,1625,1
80+,Male,Graduated high school,15k-25k,NH-White,0.224536989151746,0.2025124892789826,1619,1
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.300918397214621,0.3460139671910828,1618,1
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.4062865026950902,0.3496712187331233,1614,1
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.22453739145665588,0.2143750620391916,1609,1
35-39,Male,Graduated high school,100k-200k,NH-White,0.3871545348630931,0.400317241516357,1571,1
70-74,Male,Graduated high school,15k-25k,NH-White,0.37268685505615873,0.3456797880437981,1567,1
65-69,Male,Graduated high school,100k-200k,NH-White,0.3664127772574193,0.3973575664835075,1551,1
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3469867681159812,0.3840948097445786,1545,1
18-24,Male,Graduated high school,25k-35k,NH-White,0.2203080900221218,0.1960790616120675,1543,1
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.46192303860880346,0.4213426137126927,1514,1
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.17341131889749492,0.2108513803602572,1487,1
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3298207779039254,0.3956112840172182,1487,1
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.3606761000471881,0.2710438324772502,1482,1
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.19573408211609225,0.1895844609550091,1464,1
55-59,Male,Graduated high school,35k-50k,NH-White,0.4421221343213983,0.4181048765877126,1451,1
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.32340136919001494,0.3281624108283824,1443,1
30-34,Female,Graduated college or technical school,200k+,NH-White,0.2317685794525636,0.1233170948392374,1411,1
18-24,Female,Graduated high school,50k-100k,NH-White,0.22581069885337396,0.2572923923813209,1404,1
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.3957366515565982,0.34201090498951,1403,1
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4241004418537363,0.4004761235401846,1395,1
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.38275876558310656,0.3501990129330971,1395,1
40-44,Female,Graduated high school,50k-100k,NH-White,0.4500067399460006,0.416490704047683,1394,1
45-49,Female,Graduated high school,50k-100k,NH-White,0.4717143330645298,0.4321242805514403,1393,1
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2829602756015604,0.2710405961519239,1355,1
80+,Male,Graduated college or technical school,200k+,NH-White,0.11070031802981188,0.1351595929191168,1353,1
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.37098220635690793,0.3645128969233274,1347,1
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3409703160190962,0.3454038238692073,1342,1
60-64,Female,Graduated high school,100k-200k,NH-White,0.41255356089124473,0.3570970656820182,1321,1
55-59,Female,Graduated high school,25k-35k,NH-White,0.4706471264381972,0.4607887301845695,1293,1
55-59,Female,Graduated high school,35k-50k,NH-White,0.463737486442475,0.467325889753038,1293,1
55-59,Female,Graduated high school,100k-200k,NH-White,0.43547443251644297,0.3422847276372003,1283,1
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3672654926532913,0.3532392745802538,1280,1
60-64,Female,Graduated high school,<15k,NH-White,0.4382193034485122,0.4232278426148801,1276,1
25-29,Male,Graduated high school,35k-50k,NH-White,0.33525242504729497,0.3367213203201019,1272,1
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.26226147698633023,0.3058601754399229,1253,1
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.4688292790324327,0.4560319386870706,1231,1
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.48200733097942816,0.4681827039656862,1231,1
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.42157974821881883,0.3982902243413137,1228,1
55-59,Male,Graduated high school,25k-35k,NH-White,0.4489793541320127,0.4390361671918096,1220,1
65-69,Female,Graduated high school,<15k,NH-White,0.4120828792244386,0.3952528617181538,1217,1
55-59,Female,Graduated high school,15k-25k,NH-White,0.46807463486129075,0.4972454440855999,1216,1
35-39,Female,Graduated high school,50k-100k,NH-White,0.429097701468873,0.4305489162639994,1210,1
30-34,Male,Graduated high school,100k-200k,NH-White,0.3605248707110165,0.3644113205039074,1200,1
60-64,Male,Graduated high school,<15k,NH-White,0.41686876719176386,0.3955276772463086,1190,1
25-29,Male,Graduated college or technical school,35k-50k,NH-White,0.26559785033061245,0.1836419102024064,1181,1
80+,Female,Graduated high school,<15k,NH-White,0.23526473322145383,0.241974080369675,1179,1
80+,Female,Graduated college or technical school,15k-25k,NH-White,0.18471541005943234,0.246624210139407,1177,1
65-69,Female,Graduated college or technical school,15k-25k,NH-White,0.3404557045555529,0.3816842357999925,1160,1
30-34,Female,Graduated high school,50k-100k,NH-White,0.4014729985696433,0.4071816041824799,1159,1
70-74,Female,Graduated college or technical school,15k-25k,NH-White,0.31734319901228913,0.3756988096972808,1155,1
18-24,Male,Graduated college or technical school,100k-200k,NH-White,0.14951314655582368,0.1546535900991439,1151,1
18-24,Male,Attended college or technical school,35k-50k,NH-White,0.21434539874527875,0.1906841634505099,1146,1
55-59,Male,Graduated high school,15k-25k,NH-White,0.44642541605681896,0.4605423135558776,1140,1
75-79,Male,Attended college or technical school,100k-200k,NH-White,0.29922340013225845,0.3333985911317572,1140,1
55-59,Male,Attended college or technical school,35k-50k,NH-White,0.44032281706501464,0.4256625590448226,1137,1
25-29,Male,Attended college or technical school,100k-200k,NH-White,0.30872940361886403,0.3024012971400985,1119,1
50-54,Female,Graduated college or technical school,35k-50k,NH-White,0.40197240635464987,0.4253166244505722,1107,1
30-34,Female,Attended college or technical school,35k-50k,NH-White,0.40639421282759786,0.4644335217473205,1097,1
40-44,Female,Attended college or technical school,35k-50k,NH-White,0.45507054649610756,0.4847261859791467,1095,1
