age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.3101580133755469,11043,1,0.3102377173235576,0.289374353911475
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.2817953041965557,11041,1,0.2819518793109711,0.3076399830657653
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.3079440053462322,10989,1,0.3080301276855736,0.3303878140059186
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3193129339124304,9125,1,0.3193793363373585,0.31137898910003725
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.2780483950506048,8859,1,0.2782560506210932,0.25166654942590116
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3215774724723691,8630,1,0.3216398255951657,0.3544667570538455
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.3117479585928868,8496,1,0.3118458783043344,0.3748424568868425
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.1678803347881267,8350,1,0.1684949997253517,0.16560007809291818
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3472821735587607,8193,1,0.3472540618003789,0.3157834932089091
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.3011744412726141,8104,1,0.3013160774884256,0.2931390323830983
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.2990086130173927,8047,1,0.299159293199028,0.3561532984960973
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.2858143662954579,8004,1,0.286015121987358,0.34984968778137077
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.2684321898263347,7889,1,0.2687017107914565,0.27191440471123024
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.2385847566785564,7810,1,0.2389712055965708,0.26845116636530825
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.375727919769493,7760,1,0.37558869828355,0.3364068102275226
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.3066449872340129,7755,1,0.3067718918712087,0.36997591939566615
