_STATE,state_name,obesity_rate,n,n_obese
54.0,West Virginia,0.41681819224377037,22376.0,9146.0
28.0,Mississippi,0.41385271220859,16626.0,6914.0
1.0,Alabama,0.4025279063697345,17934.0,7195.0
22.0,Louisiana,0.4002883846191885,19223.0,7456.0
40.0,Oklahoma,0.3941967608109093,22853.0,9013.0
5.0,Arkansas,0.39326029049428574,19498.0,7388.0
21.0,Kentucky,0.38989575657096903,15346.0,6153.0
18.0,Indiana,0.38542210663119686,38061.0,14859.0
39.0,Ohio,0.38033466944572847,51717.0,20377.0
19.0,Iowa,0.37862458420502254,36230.0,13871.0
47.0,Tennessee,0.37803574125796907,15320.0,5823.0
46.0,South Dakota,0.376553193877444,25080.0,9305.0
66.0,Guam,0.37329480002876003,7647.0,2499.0
20.0,Kansas,0.3704533453541504,46425.0,17389.0
45.0,South Carolina,0.37005546195264855,31295.0,11492.0
29.0,Missouri,0.36935033859637184,32531.0,12239.0
78.0,Virgin Islands,0.36731415252313765,4644.0,1576.0
31.0,Nebraska,0.3671316852000981,51041.0,19399.0
38.0,North Dakota,0.36523932489656363,19668.0,7312.0
10.0,Delaware,0.3649768333181133,14899.0,5491.0
55.0,Wisconsin,0.3643528726178887,36505.0,13808.0
48.0,Texas,0.3642896383230815,42363.0,15617.0
13.0,Georgia,0.36125652107661893,30173.0,10967.0
26.0,Michigan,0.3609813136560208,35687.0,12794.0
72.0,Puerto Rico,0.3598154563444863,18024.0,6599.0
37.0,North Carolina,0.35714350739453365,17024.0,6093.0
17.0,Illinois,0.35107695833980446,22457.0,7748.0
51.0,Virginia,0.3502140515432186,32243.0,11339.0
35.0,New Mexico,0.34429729272884846,19816.0,6389.0
2.0,Alaska,0.3427089558751254,19847.0,6805.0
24.0,Maryland,0.3425146504414682,56215.0,19607.0
42.0,Pennsylvania,0.34181036341904086,14934.0,5085.0
32.0,Nevada,0.3373710442744797,10463.0,3321.0
23.0,Maine,0.3354050743661276,42358.0,13903.0
27.0,Minnesota,0.3344629019833189,60885.0,20510.0
4.0,Arizona,0.3338573145561126,38936.0,12399.0
56.0,Wyoming,0.330788243660298,17165.0,5535.0
16.0,Idaho,0.3276717836193956,22542.0,7486.0
41.0,Oregon,0.3256813714088588,21010.0,6851.0
33.0,New Hampshire,0.3199950321192494,24162.0,7399.0
44.0,Rhode Island,0.31533629188563683,20436.0,6297.0
9.0,Connecticut,0.31519250042830294,31047.0,9727.0
49.0,Utah,0.3132263484571633,41146.0,13021.0
53.0,Washington,0.3106415270093871,78402.0,24877.0
30.0,Montana,0.30984996645826846,26995.0,8573.0
12.0,Florida,0.3089098424624468,37548.0,12392.0
36.0,New York,0.2949537435789656,94037.0,30576.0
34.0,New Jersey,0.2947133154855429,30860.0,9114.0
6.0,California,0.29284129164810957,31501.0,8953.0
50.0,Vermont,0.28778191260813574,27246.0,7742.0
25.0,Massachusetts,0.27893403141467144,30650.0,8537.0
15.0,Hawaii,0.2624771651367907,31195.0,7818.0
8.0,Colorado,0.25506428194508524,37716.0,9636.0
11.0,District of Columbia,0.24389256114500676,12497.0,3035.0
