age_group,sex,education,income_group,race_group,predicted,observed,n,reliable
70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.2810422704345154,0.3101580133755469,11043,1
70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.29894454536400505,0.2817953041965557,11041,1
65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.3212714977199335,0.3079440053462322,10989,1
65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.302611937841041,0.3193129339124304,9125,1
75-79,Male,Graduated college or technical school,50k-100k,NH-White,0.24415357620430733,0.2780483950506048,8859,1
60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.3449443265949851,0.3215774724723691,8630,1
50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.36500898568124496,0.3117479585928868,8496,1
80+,Male,Graduated college or technical school,50k-100k,NH-White,0.16028191694346194,0.1678803347881267,8350,1
60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3069333025382192,0.3472821735587607,8193,1
65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.2847302393852711,0.3011744412726141,8104,1
55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.346603974558271,0.2990086130173927,8047,1
40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.34040192908234607,0.2858143662954579,8004,1
70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.2639502338953691,0.2684321898263347,7889,1
75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.26056231978905803,0.2385847566785564,7810,1
55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.3271851306268922,0.375727919769493,7760,1
45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.36021397160935975,0.3066449872340129,7755,1
60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.32573435158779906,0.2762674218455713,7710,1
50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.3451054575540677,0.3748482053983776,7594,1
40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.3211591257686281,0.3260231089104967,7018,1
35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.32167182708658437,0.2644197143166487,6838,1
65-69,Female,Attended college or technical school,50k-100k,NH-White,0.3955949496551382,0.3511491489707928,6572,1
35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.302999440623303,0.2881086988699534,6564,1
55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.36637376364864527,0.3448900857650855,6561,1
45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.34043127238798626,0.3750079291933289,6516,1
80+,Female,Graduated college or technical school,50k-100k,NH-White,0.17234900470718248,0.1620811816194129,6460,1
65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.3027680370293149,0.24727193897115,6444,1
75-79,Male,Graduated college or technical school,100k-200k,NH-White,0.22858734126520622,0.2308098198293789,6212,1
60-64,Female,Attended college or technical school,50k-100k,NH-White,0.42133587499091957,0.4147867462816659,6099,1
65-69,Male,Attended college or technical school,50k-100k,NH-White,0.375011314496437,0.3967067555827014,6089,1
70-74,Male,Attended college or technical school,50k-100k,NH-White,0.3508872529855006,0.3808329625216133,5937,1
50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.38520792123235287,0.3918409486364773,5916,1
60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.32557196350286594,0.3658975909063285,5849,1
70-74,Female,Attended college or technical school,50k-100k,NH-White,0.37093479461500145,0.3519220202886773,5772,1
