_STATE,state_code,age_group,sex,education,income_group,race_group,observed,n,predicted,residual
1.0,0,25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.16527523661920332,31.0,0.26036561456556173,-0.09509037794635841
1.0,0,25-29,Female,Graduated college or technical school,50k-100k,NH-White,0.2872971698290504,47.0,0.2773665023758769,0.009930667453173503
1.0,0,25-29,Male,Attended college or technical school,50k-100k,NH-White,0.3655187972417579,30.0,0.32748999934200956,0.038028797899748334
1.0,0,25-29,Male,Graduated college or technical school,50k-100k,NH-White,0.3038811607967486,42.0,0.26022274689856545,0.043658413898183146
1.0,0,30-34,Female,Attended college or technical school,50k-100k,NH-White,0.38057373625714563,36.0,0.39972058066869504,-0.019146844411549402
1.0,0,30-34,Female,Graduated college or technical school,100k-200k,NH-White,0.2993897302281195,38.0,0.30610597470456774,-0.006716244476448252
1.0,0,30-34,Female,Graduated college or technical school,50k-100k,NH-White,0.4185793780102117,42.0,0.32478205222537665,0.09379732578483507
1.0,0,30-34,Male,Graduated college or technical school,100k-200k,NH-White,0.2777328319711222,50.0,0.2878935527156747,-0.010160720744552487
1.0,0,30-34,Male,Graduated college or technical school,50k-100k,NH-White,0.36657011757218827,49.0,0.3059483904130682,0.060621727159120065
1.0,0,35-39,Female,Attended college or technical school,50k-100k,NH-White,0.28325068307780044,43.0,0.42731078984338217,-0.14406010676558173
1.0,0,35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.3618965642126944,58.0,0.330795357554657,0.031101206658037395
1.0,0,35-39,Female,Graduated college or technical school,50k-100k,NH-White,0.3935201034567124,52.0,0.35021750718904127,0.043302596267671134
1.0,0,35-39,Male,Attended college or technical school,50k-100k,NH-White,0.397098149027369,35.0,0.40610752885115486,-0.009009379823785857
1.0,0,35-39,Male,Graduated college or technical school,100k-200k,NH-White,0.3912914641402841,55.0,0.3117740021428834,0.07951746199740067
1.0,0,35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.31335470611241006,30.0,0.3306311193174031,-0.017276413204993013
1.0,0,40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4495866375704884,33.0,0.44820111426510895,0.0013855233053794436
1.0,0,40-44,Female,Graduated college or technical school,100k-200k,NH-White,0.3211608313422113,78.0,0.34984968778137077,-0.02868885643915947
1.0,0,40-44,Female,Graduated college or technical school,50k-100k,NH-White,0.32784850471716315,42.0,0.3697724147413096,-0.04192391002414647
1.0,0,40-44,Male,Graduated college or technical school,100k-200k,NH-White,0.45085786649006565,54.0,0.33027341492015994,0.12058445156990572
1.0,0,45-49,Female,Attended college or technical school,50k-100k,NH-White,0.3648069691852762,31.0,0.4698960226735158,-0.1050890534882396
1.0,0,45-49,Female,Graduated college or technical school,100k-200k,NH-White,0.19980166158968338,63.0,0.36997591939566615,-0.17017425780598278
1.0,0,45-49,Female,Graduated college or technical school,50k-100k,NH-Black,0.6900237523565529,30.0,0.4775549540653423,0.21246879829121057
1.0,0,45-49,Female,Graduated college or technical school,50k-100k,NH-White,0.3734586437127908,46.0,0.3903566243155128,-0.016897980602722018
1.0,0,45-49,Male,Attended college or technical school,100k-200k,NH-White,0.5459448684633901,35.0,0.4269472860399731,0.11899758242341696
1.0,0,45-49,Male,Graduated college or technical school,100k-200k,NH-White,0.3998340655084998,58.0,0.3498795184527772,0.04995454705572261
1.0,0,50-54,Female,Attended college or technical school,100k-200k,NH-White,0.29584565592663936,32.0,0.4535725823386712,-0.15772692641203184
1.0,0,50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4554013711947708,36.0,0.4750857823201585,-0.019684411125387713
1.0,0,50-54,Female,Graduated college or technical school,100k-200k,NH-White,0.31966694586999106,72.0,0.3748424568868425,-0.05517551101685142
1.0,0,50-54,Female,Graduated college or technical school,50k-100k,NH-White,0.4075234089076902,55.0,0.3953230291972709,0.012200379710419262
1.0,0,50-54,Male,Attended college or technical school,100k-200k,NH-White,0.6765918649063133,40.0,0.4320493045813376,0.24454256032497568
1.0,0,50-54,Male,Attended college or technical school,50k-100k,NH-White,0.5053187380551669,42.0,0.4533886852885189,0.05193005276664803
1.0,0,50-54,Male,Graduated college or technical school,100k-200k,NH-White,0.42154863262957726,59.0,0.3546305081781093,0.06691812445146794
1.0,0,50-54,Male,Graduated college or technical school,200k+,NH-White,0.3113956392648026,44.0,0.27314775432718646,0.03824788493761616
1.0,0,50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.6288499332144745,35.0,0.3746685934067635,0.25418133980771096
1.0,0,55-59,Female,Attended college or technical school,100k-200k,NH-White,0.2711674246010501,32.0,0.43368113819315823,-0.16251371359210814
1.0,0,55-59,Female,Attended college or technical school,50k-100k,NH-White,0.526551896687116,46.0,0.4550365425750623,0.07151535411205368
1.0,0,55-59,Female,Graduated college or technical school,100k-200k,NH-White,0.3417502771110248,77.0,0.3561532984960973,-0.01440302138507249
1.0,0,55-59,Female,Graduated college or technical school,50k-100k,NH-White,0.4187084646869131,54.0,0.37622726712906124,0.042481197557851846
1.0,0,55-59,Female,Graduated high school,50k-100k,NH-White,0.46152739574938023,32.0,0.4568469067869437,0.0046804889624365575
1.0,0,55-59,Male,Attended college or technical school,100k-200k,NH-White,0.5358397979960199,32.0,0.41238939905950045,0.12345039893651943
1.0,0,55-59,Male,Attended college or technical school,50k-100k,NH-White,0.391788596292526,38.0,0.43349890787356404,-0.04171031158103805
1.0,0,55-59,Male,Graduated college or technical school,100k-200k,NH-White,0.47642090182778085,74.0,0.3364068102275226,0.14001409160025824
1.0,0,55-59,Male,Graduated college or technical school,200k+,NH-White,0.2724596923275443,39.0,0.25744097622547807,0.015018716102066232
1.0,0,55-59,Male,Graduated high school,50k-100k,NH-White,0.39993018317933543,36.0,0.435292027855301,-0.03536184467596559
1.0,0,60-64,Female,Attended college or technical school,35k-50k,NH-White,0.5084497083899261,34.0,0.43869186495490925,0.06975784343501684
1.0,0,60-64,Female,Attended college or technical school,50k-100k,NH-White,0.3903549255654985,49.0,0.4318737275232883,-0.041518801957789786
1.0,0,60-64,Female,Graduated college or technical school,100k-200k,NH-White,0.2298566946669913,51.0,0.334930422102817,-0.10507372743582569
1.0,0,60-64,Female,Graduated college or technical school,50k-100k,NH-White,0.33756684544315047,65.0,0.3544667570538455,-0.01689991161069504
1.0,0,60-64,Female,Graduated high school,50k-100k,NH-White,0.5535487823131464,34.0,0.43366527121053416,0.11988351110261225
1.0,0,60-64,Male,Attended college or technical school,100k-200k,NH-White,0.45508517757661354,33.0,0.3898445043541334,0.06524067322248012
1.0,0,60-64,Male,Attended college or technical school,50k-100k,NH-White,0.5070287277760737,48.0,0.41060638670416566,0.096422341071908
1.0,0,60-64,Male,Graduated college or technical school,100k-200k,NH-White,0.3725455450475854,53.0,0.3157834932089091,0.05676205183867633
1.0,0,60-64,Male,Graduated college or technical school,50k-100k,NH-White,0.5508369744260183,49.0,0.3347651578457134,0.2160718165803049
1.0,0,60-64,Male,Graduated high school,50k-100k,NH-White,0.45074208365043245,34.0,0.4123737438348844,0.03836833981554805
1.0,0,65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3478988069527429,37.0,0.41254795368800257,-0.06464914673525968
1.0,0,65-69,Female,Attended college or technical school,50k-100k,NH-White,0.4155111482658404,58.0,0.4058423571083809,0.0096687911574595
1.0,0,65-69,Female,Graduated college or technical school,100k-200k,NH-White,0.31850505243756666,53.0,0.3115381149764677,0.006966937461098943
1.0,0,65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.4979997498017436,34.0,0.3365528832786774,0.16144686652306622
1.0,0,65-69,Female,Graduated college or technical school,50k-100k,NH-Black,0.601924002929424,30.0,0.4132711898485152,0.18865281308090887
1.0,0,65-69,Female,Graduated college or technical school,50k-100k,NH-White,0.34300358707366424,79.0,0.3303878140059186,0.01261577306774564
1.0,0,65-69,Female,Graduated high school,15k-25k,NH-White,0.538216199359927,31.0,0.41855348874158177,0.11966271061834527
1.0,0,65-69,Female,Graduated high school,50k-100k,NH-White,0.41077275318265044,37.0,0.4076033895647997,0.003169363617850751
1.0,0,65-69,Male,Attended college or technical school,50k-100k,NH-White,0.4982973338700011,42.0,0.38498824178027474,0.11330909208972634
1.0,0,65-69,Male,Graduated college or technical school,100k-200k,NH-White,0.4007591672912278,73.0,0.2931390323830983,0.1076201349081295
1.0,0,65-69,Male,Graduated college or technical school,50k-100k,NH-White,0.3758414884483379,63.0,0.31137898910003725,0.06446249934830067
1.0,0,65-69,Male,Graduated high school,50k-100k,NH-White,0.5475415046050045,36.0,0.38671768111828086,0.16082382348672364
1.0,0,70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3677704380479551,42.0,0.39402414520631357,-0.026253707158358452
1.0,0,70-74,Female,Attended college or technical school,35k-50k,NH-White,0.35540094014064616,48.0,0.3874161310983651,-0.03201519095771893
1.0,0,70-74,Female,Attended college or technical school,50k-100k,NH-White,0.4122566878105139,45.0,0.3808541960024133,0.03140249180810056
1.0,0,70-74,Female,Graduated college or technical school,100k-200k,NH-White,0.1616414306953279,41.0,0.2895269625937587,-0.1278855318984308
1.0,0,70-74,Female,Graduated college or technical school,50k-100k,NH-White,0.3201287234077134,87.0,0.3076399830657653,0.012488740341948135
1.0,0,70-74,Female,Graduated high school,15k-25k,NH-Black,0.5110439415802932,34.0,0.480638250476173,0.030405691104120225
1.0,0,70-74,Female,Graduated high school,15k-25k,NH-White,0.36619840107858465,41.0,0.3933007542316938,-0.02710235315310916
1.0,0,70-74,Female,Graduated high school,25k-35k,NH-White,0.2916341157511706,38.0,0.395768054698513,-0.10413393894734241
1.0,0,70-74,Female,Graduated high school,35k-50k,NH-White,0.17991628429943815,36.0,0.38914957584522236,-0.2092332915457842
1.0,0,70-74,Female,Graduated high school,50k-100k,NH-White,0.3790946930023882,30.0,0.38257661672382204,-0.003481923721433855
1.0,0,70-74,Male,Attended college or technical school,50k-100k,NH-White,0.44335193509599014,56.0,0.3605050182289676,0.08284691686702256
1.0,0,70-74,Male,Graduated college or technical school,100k-200k,NH-White,0.3379011547125455,78.0,0.27191440471123024,0.06598675000131526
1.0,0,70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.40283008220408995,36.0,0.29511139759075833,0.10771868461333162
1.0,0,70-74,Male,Graduated college or technical school,50k-100k,NH-White,0.36671448812015633,86.0,0.289374353911475,0.07734013420868135
1.0,0,70-74,Male,Graduated high school,50k-100k,NH-White,0.24452615077011486,31.0,0.36218924503896266,-0.1176630942688478
1.0,0,75-79,Female,Attended college or technical school,35k-50k,NH-White,0.2668977615569367,32.0,0.3431009659359076,-0.07620320437897093
1.0,0,75-79,Female,Attended college or technical school,50k-100k,NH-White,0.24938769632046992,49.0,0.33687685356698716,-0.08748915724651724
1.0,0,75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.235179976644587,30.0,0.2739332978153257,-0.03875332117073871
1.0,0,75-79,Female,Graduated college or technical school,50k-100k,NH-White,0.1864787375757695,70.0,0.26845116636530825,-0.08197242878953875
1.0,0,75-79,Female,Graduated high school,15k-25k,NH-White,0.3322182771149772,30.0,0.34869562257502,-0.016477345460042814
1.0,0,75-79,Female,Graduated high school,25k-35k,NH-White,0.5648883200648303,32.0,0.3510450100592942,0.21384331000553602
1.0,0,75-79,Female,Graduated high school,35k-50k,NH-White,0.3967601137239215,37.0,0.34474771682753036,0.052012396896391144
1.0,0,75-79,Male,Attended college or technical school,50k-100k,NH-White,0.26917051094666383,40.0,0.31767180226558916,-0.04850129131892533
