feature,coefficient,abs_coefficient,group
age_group_25-29,0.6071067725300645,0.6071067725300645,Age
age_group_30-34,0.8327880268176442,0.8327880268176442,Age
age_group_35-39,0.9465859324623109,0.9465859324623109,Age
age_group_40-44,1.0314759228335588,1.0314759228335588,Age
age_group_45-49,1.1188557887698043,1.1188557887698043,Age
age_group_50-54,1.139678045576063,1.139678045576063,Age
age_group_55-59,1.0590765050930575,1.0590765050930575,Age
age_group_60-64,0.9652070612389521,0.9652070612389521,Age
age_group_65-69,0.8582376428243358,0.8582376428243358,Age
age_group_70-74,0.7534933394582426,0.7534933394582426,Age
age_group_75-79,0.5621742475575034,0.5621742475575034,Age
age_group_80+,0.03478082444323752,0.03478082444323752,Age
sex_Male,-0.08724871867952783,0.08724871867952783,Sex
education_Did not graduate high school,-0.07014418768847205,0.07014418768847205,Education
education_Graduated college or technical school,-0.3252516844978481,0.3252516844978481,Education
education_Graduated high school,0.0072981316063398406,0.0072981316063398406,Education
income_group_15k-25k,0.13167415959798154,0.13167415959798154,Income
income_group_200k+,-0.37996376214211086,0.37996376214211086,Income
income_group_25k-35k,0.14200293381342155,0.14200293381342155,Income
income_group_35k-50k,0.11424441347301202,0.11424441347301202,Income
income_group_50k-100k,0.08650670746857264,0.08650670746857264,Income
income_group_<15k,0.10502695625489242,0.10502695625489242,Income
race_group_Asian,-1.1733533904332025,1.1733533904332025,Race
race_group_Hispanic,-0.04367856335389419,0.04367856335389419,Race
race_group_NH-Black,0.16539130135923427,0.16539130135923427,Race
race_group_NH-White,-0.19058154948651215,0.19058154948651215,Race
race_group_NHOPI,0.008626598237144636,0.008626598237144636,Race
race_group_Other/Multiracial,-0.15685253273948643,0.15685253273948643,Race
state_1,-0.018518264638595086,0.018518264638595086,State
state_2,-0.09792626328327984,0.09792626328327984,State
state_3,0.11730652805642476,0.11730652805642476,State
state_4,-0.2172413758007464,0.2172413758007464,State
state_5,-0.42681470815397693,0.42681470815397693,State
state_6,-0.12721876432733964,0.12721876432733964,State
state_7,0.001956082356562408,0.001956082356562408,State
state_8,-0.2740764084109822,0.2740764084109822,State
state_9,-0.23711280853809016,0.23711280853809016,State
state_10,-0.04201699336240438,0.04201699336240438,State
state_11,-0.10193481388675515,0.10193481388675515,State
state_12,-0.1130755283162363,0.1130755283162363,State
state_13,0.0004373684067564087,0.0004373684067564087,State
state_14,0.11348747681944536,0.11348747681944536,State
state_15,0.13419815508969213,0.13419815508969213,State
state_16,0.09386842980027131,0.09386842980027131,State
state_17,0.13367071186063162,0.13367071186063162,State
state_18,0.08144007682448225,0.08144007682448225,State
state_19,-0.06297636227096903,0.06297636227096903,State
state_20,-0.029572433547255004,0.029572433547255004,State
state_21,-0.21988979066719497,0.21988979066719497,State
state_22,0.0019019335028267511,0.0019019335028267511,State
state_23,-0.020646623261380323,0.020646623261380323,State
state_24,0.11111547053300795,0.11111547053300795,State
state_25,0.06178405950630135,0.06178405950630135,State
state_26,-0.14615303095878474,0.14615303095878474,State
state_27,0.09701374815305533,0.09701374815305533,State
state_28,-0.07504026100399,0.07504026100399,State
state_29,-0.08055958689709213,0.08055958689709213,State
state_30,-0.2072617884435001,0.2072617884435001,State
state_31,-0.10650937704357774,0.10650937704357774,State
state_32,-0.20099904884060985,0.20099904884060985,State
state_33,-0.028794122836368796,0.028794122836368796,State
state_34,0.06928801699211172,0.06928801699211172,State
state_35,0.10114145822068038,0.10114145822068038,State
state_36,0.13816094553910532,0.13816094553910532,State
state_37,-0.08037400259871053,0.08037400259871053,State
state_38,-0.027278548905429783,0.027278548905429783,State
state_39,-0.118379095084996,0.118379095084996,State
state_40,-0.0254339368132744,0.0254339368132744,State
state_41,0.09514384985648952,0.09514384985648952,State
state_42,0.0482525825486001,0.0482525825486001,State
state_43,0.004629586305123289,0.004629586305123289,State
state_44,-0.13043046631386457,0.13043046631386457,State
state_45,-0.13807444937963256,0.13807444937963256,State
state_46,0.024523807742260782,0.024523807742260782,State
state_47,-0.08417620456993977,0.08417620456993977,State
state_48,0.24035740724674595,0.24035740724674595,State
state_49,0.08415125467825572,0.08415125467825572,State
state_50,-0.052009749967925394,0.052009749967925394,State
state_51,0.03544405535558139,0.03544405535558139,State
state_52,-0.12290590101205005,0.12290590101205005,State
state_53,-0.025162070349425216,0.025162070349425216,State
