year,income_group,obesity_rate
2021,100k-200k,0.30678622120822613
2021,15k-25k,0.3795742060552683
2021,200k+,0.22414826859524903
2021,25k-35k,0.37257055573106534
2021,35k-50k,0.35631531867854443
2021,50k-100k,0.3446364962749728
2021,<15k,0.3875005363384708
2022,100k-200k,0.3281473643873253
2022,15k-25k,0.38301789620047294
2022,200k+,0.23408178775975141
2022,25k-35k,0.3652910350829908
2022,35k-50k,0.356679406999675
2022,50k-100k,0.35079559738890564
2022,<15k,0.37990642003832553
2023,100k-200k,0.32854380011713524
2023,15k-25k,0.3614467594229621
2023,200k+,0.23618050585521008
2023,25k-35k,0.36204182899891013
2023,35k-50k,0.3542651123743364
2023,50k-100k,0.34632579572506533
2023,<15k,0.37517866594867566
2024,100k-200k,0.3290123412358088
2024,15k-25k,0.37201734088337934
2024,200k+,0.2326086185951314
2024,25k-35k,0.37023957772627963
2024,35k-50k,0.3626364583617154
2024,50k-100k,0.3520633896272654
2024,<15k,0.3735764088427288
