_SEX,_AGEG5YR,_RACEPRV,_EDUCAG,_INCOMG1,n_train,reliability,cell_key,cell_id
1,1,1,1,1,24,marginal,1|1|1|1|1,713
1,1,1,1,2,66,reliable,1|1|1|1|2,714
1,1,1,1,3,132,reliable,1|1|1|1|3,715
1,1,1,1,4,115,reliable,1|1|1|1|4,716
1,1,1,1,5,149,reliable,1|1|1|1|5,717
1,1,1,1,6,72,reliable,1|1|1|1|6,718
1,1,1,1,7,26,marginal,1|1|1|1|7,719
1,1,1,2,1,187,reliable,1|1|1|2|1,720
1,1,1,2,2,418,reliable,1|1|1|2|2,721
1,1,1,2,3,857,reliable,1|1|1|2|3,722
1,1,1,2,4,1030,reliable,1|1|1|2|4,723
1,1,1,2,5,1426,reliable,1|1|1|2|5,724
1,1,1,2,6,709,reliable,1|1|1|2|6,725
1,1,1,2,7,237,reliable,1|1|1|2|7,726
1,1,1,3,1,218,reliable,1|1|1|3|1,727
1,1,1,3,2,357,reliable,1|1|1|3|2,728
1,1,1,3,3,566,reliable,1|1|1|3|3,729
1,1,1,3,4,745,reliable,1|1|1|3|4,730
1,1,1,3,5,1186,reliable,1|1|1|3|5,731
1,1,1,3,6,770,reliable,1|1|1|3|6,732
1,1,1,3,7,327,reliable,1|1|1|3|7,733
1,1,1,4,1,73,reliable,1|1|1|4|1,734
1,1,1,4,2,140,reliable,1|1|1|4|2,735
1,1,1,4,3,207,reliable,1|1|1|4|3,736
1,1,1,4,4,350,reliable,1|1|1|4|4,737
1,1,1,4,5,858,reliable,1|1|1|4|5,738
1,1,1,4,6,544,reliable,1|1|1|4|6,739
1,1,1,4,7,358,reliable,1|1|1|4|7,740
1,1,2,1,1,9,unreliable,1|1|2|1|1,741
1,1,2,1,2,10,marginal,1|1|2|1|2,742
1,1,2,1,3,20,marginal,1|1|2|1|3,743
1,1,2,1,4,13,marginal,1|1|2|1|4,744
1,1,2,1,5,9,unreliable,1|1|2|1|5,745
