GEO_ID,NAME,sex,age,population,year,prop
0100000US,United States,Male,18-24,30435736,2020,0.07942864659437564
0100000US,United States,Male,25-29,23262155,2020,0.06070763291279002
0100000US,United States,Male,30-34,22223010,2020,0.057995758918176835
0100000US,United States,Male,35-39,21346055,2020,0.05570715486489648
0100000US,United States,Male,40-44,20000622,2020,0.052195955981011746
0100000US,United States,Male,45-49,20569969,2020,0.05368179031905988
0100000US,United States,Male,50-54,20970767,2020,0.05472775952768137
0100000US,United States,Male,55-59,21785721,2020,0.05685455853975957
0100000US,United States,Male,60-64,20315718,2020,0.053018267254420784
0100000US,United States,Male,65-69,17301772,2020,0.04515272223561355
0100000US,United States,Male,70-74,13246178,2020,0.034568771101451054
0100000US,United States,Male,75-79,9113714,2020,0.023784211049412887
0100000US,United States,Male,80+,12701153,2020,0.033146410291444696
0100000US,United States,Female,18-24,14854513,2020,0.0387660697086004
0100000US,United States,Female,25-29,11411800,2020,0.029781564316555247
0100000US,United States,Female,30-34,10998357,2020,0.02870259524106062
0100000US,United States,Female,35-39,10687259,2020,0.02789071761476576
0100000US,United States,Female,40-44,10034534,2020,0.02618729032296924
0100000US,United States,Female,45-49,10395144,2020,0.02712838023938847
0100000US,United States,Female,50-54,10650734,2020,0.027795397714604334
0100000US,United States,Female,55-59,11202165,2020,0.029234476369386433
0100000US,United States,Female,60-64,10577734,2020,0.02760488840011332
0100000US,United States,Female,65-69,9153927,2020,0.023889155584531065
0100000US,United States,Female,70-74,7130592,2020,0.0186088245730835
0100000US,United States,Female,75-79,5030479,2020,0.013128124737690856
0100000US,United States,Female,80+,7783556,2020,0.02031287558715623
0100000US,United States,Male,18-24,30339089,2021,0.07864601842019196
0100000US,United States,Male,25-29,22854328,2021,0.05924376637904681
0100000US,United States,Male,30-34,22506614,2021,0.05834241032155416
0100000US,United States,Male,35-39,21920290,2021,0.056822521306290695
0100000US,United States,Male,40-44,20521593,2021,0.0531967713694265
0100000US,United States,Male,45-49,20582187,2021,0.05335384519719216
0100000US,United States,Male,50-54,21049271,2021,0.05456463622878104
0100000US,United States,Male,55-59,21928936,2021,0.05684493376156451
0100000US,United States,Male,60-64,20900477,2021,0.05417892736109507
0100000US,United States,Male,65-69,17634322,2021,0.04571228927933849
0100000US,United States,Male,70-74,13956297,2021,0.036177987774770354
0100000US,United States,Male,75-79,9066018,2021,0.023501240219368218
0100000US,United States,Male,80+,12231984,2021,0.0317081649676262
0100000US,United States,Female,18-24,14839341,2021,0.03846704446628275
0100000US,United States,Female,25-29,11262567,2021,0.0291952092477347
0100000US,United States,Female,30-34,11141071,2021,0.028880263184127463
0100000US,United States,Female,35-39,10885210,2021,0.028217011597403526
0100000US,United States,Female,40-44,10226931,2021,0.026510598383756093
0100000US,United States,Female,45-49,10311454,2021,0.0267297017792117
0100000US,United States,Female,50-54,10573403,2021,0.027408734886604967
0100000US,United States,Female,55-59,11147337,2021,0.02889650612245105
0100000US,United States,Female,60-64,10762720,2021,0.027899488853187663
0100000US,United States,Female,65-69,9257850,2021,0.023998513654492862
0100000US,United States,Female,70-74,7445758,2021,0.019301147137947738
0100000US,United States,Female,75-79,4985427,2021,0.012923393437242706
0100000US,United States,Female,80+,7437166,2021,0.019278874663310602
0100000US,United States,Male,18-24,31282896,2022,0.0804072579595784
