age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,57,2020,2.2503269103199838e-07
18-24,Female,AIAN,Attended college or technical school,15k-25k,5894,2020,2.3269169841098217e-05
18-24,Female,AIAN,Attended college or technical school,200k+,43,2020,1.6976150376098123e-07
18-24,Female,AIAN,Attended college or technical school,25k-35k,2318,2020,9.151329435301268e-06
18-24,Female,AIAN,Attended college or technical school,35k-50k,885,2020,3.4939286239178698e-06
18-24,Female,AIAN,Attended college or technical school,50k-100k,527,2020,2.0805654065590025e-06
18-24,Female,AIAN,Attended college or technical school,<15k,26795,2020,0.00010578510449477888
18-24,Female,AIAN,Did not graduate high school,15k-25k,1159,2020,4.575664717650634e-06
18-24,Female,AIAN,Did not graduate high school,200k+,30,2020,1.1843825843789388e-07
18-24,Female,AIAN,Did not graduate high school,25k-35k,238,2020,9.396101836072915e-07
18-24,Female,AIAN,Did not graduate high school,35k-50k,47,2020,1.8555327155270043e-07
18-24,Female,AIAN,Did not graduate high school,50k-100k,64,2020,2.5266828466750693e-07
18-24,Female,AIAN,Did not graduate high school,<15k,13781,2020,5.440658798442052e-05
18-24,Female,AIAN,Graduated college or technical school,15k-25k,679,2020,2.6806525826443318e-06
18-24,Female,AIAN,Graduated college or technical school,200k+,65,2020,2.566162266154368e-07
18-24,Female,AIAN,Graduated college or technical school,25k-35k,688,2020,2.7161840601756998e-06
18-24,Female,AIAN,Graduated college or technical school,35k-50k,667,2020,2.633277279269174e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,246,2020,9.7119371919073e-07
18-24,Female,AIAN,Graduated college or technical school,<15k,1747,2020,6.897054583033354e-06
18-24,Female,AIAN,Graduated high school,100k-200k,73,2020,2.881997621988751e-07
18-24,Female,AIAN,Graduated high school,15k-25k,5171,2020,2.0414807812744975e-05
18-24,Female,AIAN,Graduated high school,200k+,36,2020,1.4212591012547266e-07
18-24,Female,AIAN,Graduated high school,25k-35k,2313,2020,9.131589725561618e-06
18-24,Female,AIAN,Graduated high school,35k-50k,570,2020,2.250326910319984e-06
18-24,Female,AIAN,Graduated high school,50k-100k,213,2020,8.409116349090466e-07
18-24,Female,AIAN,Graduated high school,<15k,22821,2020,9.009598319370588e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,354,2020,1.397571449567148e-06
18-24,Female,Asian,Attended college or technical school,15k-25k,78790,2020,0.00031105834607738866
18-24,Female,Asian,Attended college or technical school,200k+,556,2020,2.1950557230489665e-06
18-24,Female,Asian,Attended college or technical school,25k-35k,38112,2020,0.0001504639635195004
18-24,Female,Asian,Attended college or technical school,35k-50k,16655,2020,6.575297314277076e-05
18-24,Female,Asian,Attended college or technical school,50k-100k,8265,2020,3.262974019963976e-05
18-24,Female,Asian,Attended college or technical school,<15k,540075,2020,0.002132184747528185
18-24,Female,Asian,Did not graduate high school,100k-200k,95,2020,3.7505448505333065e-07
18-24,Female,Asian,Did not graduate high school,15k-25k,8104,2020,3.199412154602307e-05
18-24,Female,Asian,Did not graduate high school,200k+,81,2020,3.197832977823135e-07
18-24,Female,Asian,Did not graduate high school,25k-35k,3798,2020,1.4994283518237366e-05
18-24,Female,Asian,Did not graduate high school,35k-50k,1505,2020,5.941652631634343e-06
18-24,Female,Asian,Did not graduate high school,50k-100k,639,2020,2.5227349047271397e-06
