age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,6579,2020,2.6813714997989216e-05
18-24,Female,AIAN,Attended college or technical school,15k-25k,3994,2020,1.6278154385464193e-05
18-24,Female,AIAN,Attended college or technical school,200k+,855,2020,3.484682523678489e-06
18-24,Female,AIAN,Attended college or technical school,25k-35k,3101,2020,1.2638597082955549e-05
18-24,Female,AIAN,Attended college or technical school,35k-50k,4917,2020,2.003998125020717e-05
18-24,Female,AIAN,Attended college or technical school,50k-100k,10940,2020,4.458763369478675e-05
18-24,Female,AIAN,Attended college or technical school,<15k,3516,2020,1.4329992693863822e-05
18-24,Female,AIAN,Did not graduate high school,100k-200k,2071,2020,8.440675446243452e-06
18-24,Female,AIAN,Did not graduate high school,15k-25k,1971,2020,8.033110238795674e-06
18-24,Female,AIAN,Did not graduate high school,200k+,202,2020,8.232817190445085e-07
18-24,Female,AIAN,Did not graduate high school,25k-35k,1728,2020,7.042726784697578e-06
18-24,Female,AIAN,Did not graduate high school,35k-50k,1902,2020,7.75189024565671e-06
18-24,Female,AIAN,Did not graduate high school,50k-100k,3783,2020,1.5418191797749385e-05
18-24,Female,AIAN,Did not graduate high school,<15k,2968,2020,1.2096535357050006e-05
18-24,Female,AIAN,Graduated college or technical school,100k-200k,1463,2020,5.96267898496097e-06
18-24,Female,AIAN,Graduated college or technical school,15k-25k,122,2020,4.972295530862873e-07
18-24,Female,AIAN,Graduated college or technical school,200k+,367,2020,1.4957643113333398e-06
18-24,Female,AIAN,Graduated college or technical school,25k-35k,166,2020,6.76558244363309e-07
18-24,Female,AIAN,Graduated college or technical school,35k-50k,775,2020,3.1586303577202677e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,806,2020,3.2849755720290784e-06
18-24,Female,AIAN,Graduated college or technical school,<15k,332,2020,1.353116488726618e-06
18-24,Female,AIAN,Graduated high school,100k-200k,4251,2020,1.732559696860498e-05
18-24,Female,AIAN,Graduated high school,15k-25k,3154,2020,1.2854606642902871e-05
18-24,Female,AIAN,Graduated high school,200k+,989,2020,4.030819901658509e-06
18-24,Female,AIAN,Graduated high school,25k-35k,3899,2020,1.5890967438388807e-05
18-24,Female,AIAN,Graduated high school,35k-50k,4224,2020,1.721555436259408e-05
18-24,Female,AIAN,Graduated high school,50k-100k,9708,2020,3.9566430339030145e-05
18-24,Female,AIAN,Graduated high school,<15k,4224,2020,1.721555436259408e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,132839,2020,0.0005414055459215518
18-24,Female,Asian,Attended college or technical school,15k-25k,37600,2020,0.00015324451800036396
18-24,Female,Asian,Attended college or technical school,200k+,48156,2020,0.00019626710129855125
18-24,Female,Asian,Attended college or technical school,25k-35k,37446,2020,0.0001526168675808944
18-24,Female,Asian,Attended college or technical school,35k-50k,59422,2020,0.00024218339756961775
18-24,Female,Asian,Attended college or technical school,50k-100k,150977,2020,0.0006153297232484295
18-24,Female,Asian,Attended college or technical school,<15k,74648,2020,0.0003042392760556162
18-24,Female,Asian,Did not graduate high school,100k-200k,27389,2020,0.0001116280346678715
18-24,Female,Asian,Did not graduate high school,15k-25k,10861,2020,4.4265657180903e-05
18-24,Female,Asian,Did not graduate high school,200k+,11474,2020,4.6764031902557874e-05
